DRAGON data 
 22 	 2 	 110 	 0 	 0 
No.	MolID	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI2	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr06	T(N..F)	T(N..Cl)	T(N..Br)	T(N..I)	T(F..Br)	T(Cl..Br)	T(Br..Br)	T(Br..I)	X0	X1	X2	X3	X4	X5	X0A	X2A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
 1	PHENET-01	54	101.067	58	98.778	6	7.455	1.714	1.861	0.366	24.250	3	13	42.380	34.833	0.311	850	1145.141	750	1272.630	12.258	6.313	209	3.167	18.382	29.302	180.500	2.668	526	21.110	317	1096	12.141	48.098	478	165.886	165.659	200.465	173.636	206.747	2.243	2.809	2.813	2.390	2.698	2.329	0.895	0.895	3.381	13.300	37.020	9.748	4.630	3.297	3.761	1.238	0.557	0.287	0.151	0.750	129	67	5.583	0.917	5.528	25	118	20	13	1.695	1.959	40.298	0	0	3	0	0	0	0	0	8.975	5.698	5.005	3.298	2.639	1.702	0.748	0.334	0.147	0.095	9.082	4.952	4.246	2.505	1.972	0.825	0.757	0.413	0.283	0.157	0.110	0.046	9.975	6.276	5.747	4.005	3.444	1.938	43.343	2.378	61.248
 2	PHENET-02	60	157.067	65	132.778	7	7.860	1.660	1.831	0.357	27.750	4	15	47.887	40.615	0.309	1059	1758.697	935	2276.815	13.286	7.878	264	3.385	20.314	33.145	223.333	2.741	712	23.463	384	1336	13.723	57.965	599	206.343	205.681	265.665	215.051	281.037	2.268	2.892	2.899	2.352	2.789	2.250	1.853	4.587	10.987	21.567	42.106	10.677	4.728	3.450	3.883	1.166	0.573	0.292	0.142	1	155	81	6.231	1.053	6.817	29	151	26	20	1.662	2.200	44.165	7	0	3	0	6	0	0	0	9.845	6.092	5.627	3.708	2.791	1.914	0.757	0.331	0.140	0.087	9.383	5.052	4.387	2.575	1.982	0.824	0.722	0.389	0.258	0.143	0.099	0.037	9.975	6.276	5.747	4.005	3.444	1.938	46.572	2.449	69.766
 3	PHENET-03	60	108.672	65	107.889	7	7.860	1.660	1.831	0.357	26.583	4	15	47.887	40.615	0.309	1059	1368.080	935	1470.691	13.286	7.878	264	3.385	20.314	33.145	223.333	2.741	712	23.463	384	1336	13.723	57.965	599	202.578	202.162	248.383	216.283	253.013	2.268	2.932	2.938	2.475	2.777	2.438	0.959	1.685	5.843	17.047	42.106	11.025	4.986	3.671	4.228	1.253	0.573	0.292	0.142	1	155	81	6.231	1.053	6.817	29	151	26	20	1.662	2.200	44.165	0	7	3	0	0	6	0	0	9.845	6.092	5.627	3.708	2.791	1.914	0.757	0.331	0.140	0.087	10.139	5.430	4.823	2.827	2.108	0.969	0.780	0.418	0.284	0.157	0.105	0.044	11.345	6.958	6.777	4.704	3.762	2.320	48.882	2.449	69.766
 4	PHENET-04	60	108.134	65	105.815	7	7.860	1.660	1.831	0.357	26	4	15	47.887	40.615	0.309	1059	1339.023	935	1403.514	13.286	7.878	264	3.385	20.314	33.145	223.333	2.741	712	23.463	384	1336	13.723	57.965	599	200.400	199.900	245.056	217.049	250.249	2.268	2.957	2.963	2.502	2.770	2.459	0.921	0.904	4.592	16.171	42.106	11.219	5.130	3.795	4.427	1.349	0.573	0.292	0.142	1	155	81	6.231	1.053	6.817	29	151	26	20	1.662	2.200	44.165	0	0	10	0	0	0	6	0	9.845	6.092	5.627	3.708	2.791	1.914	0.757	0.331	0.140	0.087	10.969	5.845	5.302	3.104	2.246	1.129	0.844	0.450	0.312	0.172	0.112	0.051	11.845	7.247	7.185	4.993	3.929	2.534	54.078	2.449	69.766
 5	PHENET-05	60	108.091	65	105.400	7	7.860	1.660	1.831	0.357	25.650	4	15	47.887	40.615	0.309	1059	1333.277	935	1390.079	13.286	7.878	264	3.385	20.314	33.145	223.333	2.741	712	23.463	384	1336	13.723	57.965	599	199.701	199.232	243.328	218.671	247.272	2.268	2.965	2.971	2.516	2.754	2.483	0.903	0.917	4.166	16.027	42.106	11.464	5.315	3.955	4.687	1.415	0.573	0.292	0.142	1	155	81	6.231	1.053	6.817	29	151	26	20	1.662	2.200	44.165	0	0	3	7	0	0	0	6	9.845	6.092	5.627	3.708	2.791	1.914	0.757	0.331	0.140	0.087	11.541	6.131	5.632	3.295	2.342	1.239	0.888	0.472	0.331	0.183	0.117	0.056	12.345	7.536	7.593	5.282	4.096	2.748	59.274	2.449	69.766
 6	PHENET-06	60	109.067	65	108.778	7	7.860	1.660	1.831	0.357	26.250	4	15	47.887	40.615	0.309	1059	1380.697	935	1499.481	13.286	7.878	264	3.385	20.314	33.145	223.333	2.741	712	23.463	384	1336	13.723	57.965	599	210.343	210.096	248.383	218.800	255.324	2.268	2.851	2.854	2.475	2.753	2.420	0.900	0.919	4.085	16.023	42.106	10.741	4.775	3.490	3.946	1.238	0.573	0.292	0.142	1	155	81	6.231	1.053	6.817	29	151	26	20	1.662	2.200	44.165	0	0	3	0	0	0	0	0	9.845	6.092	5.627	3.708	2.791	1.914	0.757	0.331	0.140	0.087	10.005	5.363	4.746	2.783	2.086	0.943	0.770	0.413	0.279	0.155	0.104	0.043	10.845	6.670	6.368	4.416	3.596	2.106	45.706	2.449	69.766
 7	PHENET-07	60	157.067	65	132.778	7	7.860	1.660	1.831	0.357	27.750	4	15	47.608	39.692	0.299	1035	1697.438	911	2170.741	13.192	7.785	258	3.308	20.377	33.321	222.333	2.708	672	23.562	390	1382	13.661	56.366	599	202.343	201.681	261.665	211.051	277.037	2.321	2.949	2.957	2.387	2.842	2.281	1.847	4.831	11.305	22.163	46.106	10.677	4.728	3.450	3.883	1.166	0.571	0.291	0.152	0.750	142	74	5.692	0.947	6.331	28	152	24	20	1.662	1.950	44.165	6	0	3	0	5	0	0	0	9.845	6.092	5.639	3.625	2.934	1.978	0.757	0.332	0.140	0.090	9.383	5.052	4.390	2.554	1.991	0.887	0.722	0.389	0.258	0.142	0.095	0.040	9.975	6.276	5.747	4.005	3.444	1.938	46.572	2.435	70.185
 8	PHENET-08	60	108.672	65	107.889	7	7.860	1.660	1.831	0.357	26.583	4	15	47.608	39.692	0.299	1035	1344.154	911	1447.119	13.192	7.785	258	3.308	20.377	33.321	222.333	2.708	672	23.562	390	1382	13.661	56.366	599	198.578	198.162	244.383	212.283	249.013	2.321	2.993	2.999	2.516	2.829	2.478	0.985	1.780	5.953	17.222	46.106	11.025	4.986	3.671	4.228	1.253	0.571	0.291	0.152	0.750	142	74	5.692	0.947	6.331	28	152	24	20	1.662	1.950	44.165	0	6	3	0	0	5	0	0	9.845	6.092	5.639	3.625	2.934	1.978	0.757	0.332	0.140	0.090	10.139	5.430	4.827	2.789	2.190	1.128	0.780	0.418	0.284	0.155	0.104	0.051	11.345	6.958	6.789	4.594	3.961	2.630	48.882	2.435	70.185
 9	PHENET-09	60	108.134	65	105.815	7	7.860	1.660	1.831	0.357	26	4	15	47.608	39.692	0.299	1035	1318.208	911	1386.818	13.192	7.785	258	3.308	20.377	33.321	222.333	2.708	672	23.562	390	1382	13.661	56.366	599	196.400	195.900	241.056	213.049	246.249	2.321	3.020	3.027	2.544	2.821	2.501	0.931	0.908	4.625	16.214	46.106	11.219	5.130	3.795	4.427	1.349	0.571	0.291	0.152	0.750	142	74	5.692	0.947	6.331	28	152	24	20	1.662	1.950	44.165	0	0	9	0	0	0	5	0	9.845	6.092	5.639	3.625	2.934	1.978	0.757	0.332	0.140	0.090	10.969	5.845	5.306	3.047	2.408	1.393	0.844	0.450	0.312	0.169	0.115	0.063	11.845	7.247	7.197	4.856	4.215	2.932	54.078	2.435	70.185
 10	PHENET-10	60	108.091	65	105.400	7	7.860	1.660	1.831	0.357	25.650	4	15	47.608	39.692	0.299	1035	1313.084	911	1374.757	13.192	7.785	258	3.308	20.377	33.321	222.333	2.708	672	23.562	390	1382	13.661	56.366	599	195.701	195.232	239.328	214.671	243.272	2.321	3.029	3.035	2.560	2.805	2.527	0.905	0.926	4.146	16.011	46.106	11.464	5.315	3.955	4.687	1.415	0.571	0.291	0.152	0.750	142	74	5.692	0.947	6.331	28	152	24	20	1.662	1.950	44.165	0	0	3	6	0	0	0	5	9.845	6.092	5.639	3.625	2.934	1.978	0.757	0.332	0.140	0.090	11.541	6.131	5.636	3.225	2.559	1.575	0.888	0.472	0.332	0.179	0.122	0.072	12.345	7.536	7.605	5.119	4.468	3.234	59.274	2.435	70.185
